This is the data straight from the sd card.
The first number is distance measured, the second number is time in milliseconds
Note: Where there are longer gaps between reasings is where data is written from memory to the sd card

500,2594
500,2621
500,2647
500,2674
500,2700
500,2727
500,2753
500,2780
500,2806
500,2833
500,2859
500,2886
500,2912
500,2939
500,2965
500,2992
500,3018
500,3045
500,3071
500,3098
500,3124
500,3151
500,3177
500,3204
500,3230
500,3257
500,3283
500,3309
500,3336
500,3362
500,3389
500,3415
500,3442
500,3468
500,3495
500,3521
500,3548
500,3574
500,3601
500,3627
500,3654
500,3680
500,3707
500,3733
500,3760
500,3786
500,3813
500,3839
500,3866
500,3892
500,3919
500,3945
500,3972
500,3998
500,4025
500,4051
500,4078
500,4104
500,4131
500,4157
500,4184
500,4210
500,4237
500,4263
500,4290
500,4316
500,4343
500,4369
500,4396
500,4422
500,4449
500,4475
500,4502
500,4528
500,4555
500,4581
500,4608
500,4634
500,4661
500,4687
500,4714
500,4740
500,4767
500,4793
500,4820
500,4846
500,4873
500,4899
500,4926
500,4952
500,4979
500,5005
500,5032
500,5058
500,5085
500,5111
500,5138
500,5164
500,5191
500,5217
500,5244
500,5270
500,5297
500,5323
500,5350
500,5376
500,5403
500,5429
500,5456
500,5482
500,5509
500,5535
500,5562
500,5588
500,5615
500,5641
500,5667
500,5694
500,5720
500,5747
500,5773
500,5800
500,5826
500,5853
500,5879
500,5906
500,5932
500,5959
500,5985
500,6012
500,6038
500,6065
500,6091
500,6118
500,6144
500,6171
500,6197
500,6224
500,6250
500,6277
500,6303
500,6330
500,6356
500,6383
500,6409
500,6436
500,6462
500,6489
500,6515
500,6542
500,6568
500,6595
500,6621
500,6648
500,6674
500,6701
500,6727
500,6754
500,6780
500,6807
500,6833
500,6860
500,6886
500,6913
500,6939
500,6966
500,6992
500,7019
500,7045
500,7072
500,7098
500,7125
500,7151
500,7178
500,7204
500,7231
500,7257
500,7284
500,7310
500,7337
500,7363
500,7390
500,7416
500,7443
500,7469
500,7496
500,7522
500,7549
500,7575
500,7602
500,7628
500,7655
500,7681
500,7708
500,7734
500,7761
500,7787
500,7814
500,7840
500,7867
500,7893
500,7920
500,7946
500,7973
500,7999
500,8025
500,8052
500,8078
500,8105
500,8131
500,8158
500,8184
500,8211
500,8237
500,8264
500,8290
500,8317
500,8343
500,8370
500,8396
500,8423
500,8449
500,8476
500,8502
500,8529
500,8555
500,8582
500,8608
500,8635
500,8661
500,8688
500,8714
500,8741
500,8767
500,8794
500,8820
500,8847
500,8873
500,8900
500,8926
500,8953
500,8979
500,9006
500,9032
500,9059
500,9085
500,9112
500,9138
500,9165
500,9191
500,9218
500,9244
500,9271
500,9297
500,9324
500,9350
500,9377
500,9403
500,9430
500,9456
500,9483
500,9509
500,9536
500,9562
500,9589
500,9615
500,9642
500,9668
500,9695
500,9721
500,9748
500,9774
500,9801
500,9827
500,9854
500,9880
500,9907
500,9933
500,9960
500,9986
500,10013
500,10039
500,10066
500,10092
500,10119
500,10145
500,10172
500,10198
500,10225
500,10251
500,10278
500,10304
500,10331
500,10357
500,10383
500,10410
500,10436
500,10463
500,10489
500,10516
500,10542
500,10569
500,10595
500,10622
500,10648
500,10675
500,10701
500,10728
500,10754
500,10781
500,10807
500,10834
500,10860
500,10887
500,10913
500,10940
500,10966
500,10993
500,11019
500,11046
500,11072
500,11099
500,11125
500,11152
500,11178
500,11205
500,11231
500,11258
500,11284
500,11311
500,11337
500,11364
500,11390
500,11417
500,11443
500,11470
500,11496
500,11523
500,11549
500,11576
500,11602
500,11629
500,11655
500,11682
500,11708
500,11735
500,11761
500,11788
500,11814
500,11841
500,11867
500,11894
500,11920
500,11947
500,11973
500,12000
500,12026
500,12053
500,12079
500,12106
500,12132
500,12159
500,12185
500,12212
500,12238
500,12265
500,12291
500,12318
500,12344
500,12371
500,12397
500,12424
500,12450
500,12477
500,12503
500,12530
500,12556
500,12583
500,12609
500,12636
500,12662
500,12689
500,12715
500,12741
500,12768
500,12794
500,12821
500,12847
500,12874
500,12900
500,12927
500,12953
500,12980
500,13006
500,13033
500,13059
500,13086
500,13112
500,13139
500,13165
500,13192
500,13218
500,13245
500,13271
500,13298
500,13324
500,13351
500,13377
500,13404
500,13430
500,13457
500,13483
500,13510
500,13536
500,13563
500,13589
500,13616
500,13642
500,13669
500,13695
500,13722
500,13748
500,13775
500,13801
500,13828
500,13854
500,13881
500,13907
500,13934
500,13960
500,13987
500,14013
500,14040
500,14066
500,14093
500,14119
500,14146
500,14172
500,14199
500,14225
500,14252
500,14278
500,14305
500,14331
500,14358
500,14384
500,14411
500,14437
500,14464
500,14490
500,14517
500,14543
500,14570
500,14596
500,14623
500,14649
500,14676
500,14702
500,14729
500,14755
500,14782
500,14808
500,14835
500,14861
500,14888
500,14914
500,14941
500,14967
500,14994
500,15020
500,15046
500,15073
500,15099
500,15126
500,15152
500,15179
500,15205
500,15232
500,15258
500,15285
500,15311
500,15338
500,15364
500,15391
500,15417
500,15444
500,15470
500,15497
500,15523
500,15550
500,15576
500,15603
500,15629
500,15656
500,15682
500,15709
500,15735
500,15762
500,15788
500,15815
500,15841
500,15868
500,15894
500,15921
500,15947
500,15974
500,16000
500,16027
500,16053
500,16080
500,16106
500,16133
500,16159
500,16186
500,16212
500,16239
500,16265
500,16292
500,16318
500,16345
500,16371
500,16398
500,16424
500,16451
500,16477
500,16504
500,16530
500,16557
500,16583
500,16610
500,16636
500,16663
500,16689
500,16716
500,16742
500,16769
500,16795
500,16822
500,16848
500,16875
500,16901
500,16928
500,16954
500,16981
500,17007
500,17034
500,17060
500,17087
500,17113
500,17140
500,17166
500,17193
500,17219
500,17246
500,17272
500,17299
500,17325
500,17352
500,17378
500,17404
500,17431
500,17457
500,17484
500,17510
500,17537
500,17563
500,17590
500,17616
500,17643
500,17669
500,17696
500,17722
500,17749
500,17775
500,17802
500,17828
500,17855
500,17881
500,17908
500,17934
500,17961
500,17987
500,18014
500,18040
500,18067
500,18093
500,18120
500,18146
500,18173
500,18199
500,18226
500,18252
500,18279
500,18305
500,18332
500,18358
500,18385
500,18411
500,18438
500,18464
500,18491
500,18517
500,18544
500,18570
500,18597
500,18623
500,18650
500,18676
500,18703
500,18729
500,18756
500,18782
500,18809
500,18835
500,18862
500,18888
500,18915
500,18941
500,18968
500,18994
500,19021
500,19047
500,19074
500,19100
500,19127
500,19153
500,19180
500,19206
500,19233
500,19259
500,19286
500,19312
500,19339
500,19365
500,19392
500,19418
500,19445
500,19471
500,19498
500,19524
500,19551
500,19577
500,19604
500,19630
500,19657
500,19683
500,19710
500,19736
500,19762
500,19789
500,19815
500,19842
500,19868
500,19895
500,19921
500,19948
500,19974
500,20001
500,20027
500,20054
500,20080
500,20107
500,20133
500,20160
500,20186
500,20213
500,20239
500,20266
500,20292
500,20319
500,20345
500,20372
500,20398
500,20425
500,20451
500,20478
500,20504
500,20531
500,20557
500,20584
500,20610
500,20637
500,20663
500,20690
500,20716
500,20743
500,20769
500,20796
500,20822
500,20849
500,20875
500,20902
500,20928
500,20955
500,20981
500,21008
500,21034
500,21061
500,21087
500,21114
500,21140
500,21167
500,21193
500,21220
500,21246
500,21273
500,21299
500,21326
500,21352
500,21379
500,21405
500,21432
500,21458
500,21485
500,21511
500,21538
500,21564
500,21591
500,21617
500,21644
500,21670
500,21697
500,21723
500,21750
500,21776
500,21803
500,21829
500,21856
500,21882
500,21909
500,21935
500,21962
500,21988
500,22015
500,22041
500,22068
500,22094
500,22120
500,22147
500,22173
500,22200
500,22226
500,22253
500,22279
500,22306
500,22332
500,22359
500,22385
500,22412
500,22438
500,22465
500,22491
500,22518
500,22544
500,22571
500,22597
500,22624
500,22650
500,22677
500,22703
500,22730
500,22756
500,22783
500,22809
500,22836
500,22862
500,22889
500,22915
500,22942
500,22968
500,22995
500,23021
500,23048
500,23074
500,23101
500,23127
500,23154
500,23180
500,23207
500,23233
500,23260
500,23286
500,23313
500,23339
500,23366
500,23392
500,23419
500,23445
500,23472
500,23498
500,23525
500,23551
500,23578
500,23604
500,23631
500,23657
500,23684
500,23710
500,23737
500,23763
169,81518
171,81529
172,81539
173,81550
175,81560
392,81584
183,81595
500,81621
348,81642
284,81659
308,81677
306,81695
288,81713
279,81729
287,81746
321,81766
293,81783
330,81803
335,81823
321,81842
267,81858
329,81878
360,81899
319,81918
331,81938
279,81955
212,81967
292,81985
344,82005
302,82023
353,82044
353,82065
296,82083
306,82101
285,82118
332,82138
239,82152
355,82174
292,82191
314,82210
408,82234
326,82254
237,82268
294,82285
319,82304
298,82322
305,82340
301,82358
500,82385
292,82402
342,82423
296,82441
310,82459
258,82474
256,82490
300,82508
332,82527
393,82551
341,82571
238,82585
370,82607
335,82627
240,82642
500,82668
280,82685
308,82703
339,82724
281,82740
306,82759
320,82778
320,82797
291,82814
377,82837
356,82858
345,82878
350,82899
500,82926
392,82949
336,82969
253,82984
288,83002
319,83021
264,83036
303,83055
334,83074
226,83088
268,83104
309,83122
265,83138
376,83161
280,83177
338,83198
402,83222
309,83240
205,83252
300,83270
351,83291
281,83308
402,83332
339,83352
235,83366
324,83385
288,83403
348,83423
296,83441
299,83459
242,83474
320,83493
265,83509
251,83524
289,83541
304,83559
360,83580
392,83604
363,83625
319,83644
326,83664
280,83681
290,83698
308,83716
285,83733
244,83748
274,83764
268,83780
403,83804
310,83823
355,83844
302,83862
500,83889
296,83906
372,83928
319,83947
283,83964
291,83982
359,84003
343,84023
301,84041
394,84065
277,84082
318,84100
500,84127
368,84149
292,84166
268,84182
326,84202
319,84221
332,84241
321,84260
297,84278
340,84298
400,84322
306,84340
500,84366
281,84383
344,84404
302,84422
267,84438
278,84454
294,84472
331,84492
330,84511
290,84529
426,84554
249,84569
311,84588
267,84604
348,84624
330,84644
338,84664
272,84680
359,84702
334,84722
500,84748
317,84767
500,84794
306,84812
399,84836
313,84854
314,84873
257,84889
300,84906
323,84926
500,84952
339,84972
360,84994
254,85009
230,85023
234,85037
275,85053
356,85075
320,85094
307,85112
303,85130
500,85157
500,85183
265,85199
264,85215
308,85233
315,85252
338,85272
330,85292
370,85314
298,85332
285,85349
280,85366
385,85388
378,85411
308,85429
378,85452
325,85471
287,85488
271,85505
363,85526
500,85553
338,85573
299,85591
500,85617
300,85635
295,85653
296,85670
369,85692
500,85719
407,85743
338,85763
307,85782
306,85800
340,85820
373,85842
297,85860
342,85881
300,85898
362,85920
292,85937
271,85954
294,85971
324,85991
214,86003
343,86024
277,86040
320,86060
346,86080
384,86103
366,86125
312,86143
248,86158
270,86174
361,86196
359,86217
250,86232
304,86251
369,86272
368,86294
319,86313
335,86333
290,86351
288,86368
314,86387
271,86403
378,86425
500,86452
321,86471
325,86490
500,86517
310,86535
326,86555
326,86574
323,86594
286,86611
294,86628
295,86646
367,86668
344,86688
310,86707
287,86724
354,86745
291,86763
400,86786
263,86802
331,86822
244,86836
400,86860
434,86886
324,86905
320,86924
374,86947
269,86963
331,86983
324,87002
381,87025
330,87044
312,87063
227,87076
336,87096
286,87114
289,87131
340,87151
323,87170
319,87189
